"","ISO","year","Dummy_Earthquake","Dummy_Drought"
"1","AFG",2000,0,1
"2","ARM",2000,0,1
"3","BIH",2000,0,1
"4","AZE",2000,1,0
"5","AZE",2000,0,1
"6","BGD",2000,1,0
"7","BGR",2000,0,1
"8","BOL",2000,0,1
"9","CHN",2000,1,0
"10","CHN",2000,1,0
"11","CHN",2000,1,0
"12","CHN",2000,1,0
"13","CHN",2000,1,0
"14","AFG",2001,1,0
"15","CHN",2001,1,0
"16","IND",2000,0,1
"17","IDN",2000,1,0
"18","JPN",2000,1,0
"19","IDN",2000,1,0
"20","MNG",2000,0,1
"21","HND",2000,0,1
"22","NIC",2000,0,1
"23","CHN",2000,0,1
"24","CHN",2000,0,1
"25","CHN",2000,0,1
"26","COL",2000,1,0
"27","CUB",2000,0,1
"28","CYP",2000,0,1
"29","GEO",2000,0,1
"30","GRC",2000,1,0
"31","IDN",2000,1,0
"32","IDN",2000,1,0
"33","IDN",2000,1,0
"34","IRN",2000,1,0
"35","IRN",2000,1,0
"36","ISL",2000,1,0
"37","ISL",2000,1,0
"38","JAM",2000,0,1
"39","JOR",2000,0,1
"40","JPN",2000,1,0
"41","MDA",2000,0,1
"42","MDG",2000,0,1
"43","MEX",2000,1,0
"44","NIC",2000,1,0
"45","GTM",2001,1,0
"46","IND",2001,1,0
"47","PAK",2001,1,0
"48","RUS",2000,1,0
"49","PNG",2000,1,0
"50","USA",2000,0,1
"51","ROU",2000,0,1
"52","TJK",2000,1,0
"53","TJK",2000,0,1
"54","TKM",2000,1,0
"55","TUR",2000,1,0
"56","TUR",2000,1,0
"57","TZA",2000,1,0
"58","USA",2000,1,0
"59","USA",2000,0,1
"60","UZB",2000,0,1
"61","SLV",2001,1,0
"62","SLV",2001,1,0
"63","CHN",2001,1,0
"64","AGO",2001,0,1
"65","TZA",2001,1,0
"66","USA",2001,1,0
"67","AFG",2001,1,0
"68","BFA",2001,0,1
"69","BRA",2001,0,1
"70","CHN",2001,1,0
"71","CHN",2001,1,0
"72","CHN",2001,1,0
"73","AFG",2002,1,0
"74","AFG",2002,1,0
"75","AFG",2002,1,0
"76","ARG",2002,1,0
"77","AUS",2002,0,1
"78","BRA",2002,0,1
"79","HND",2001,0,1
"80","MRT",2001,0,1
"81","GTM",2001,0,1
"82","MLI",2001,0,1
"83","CHN",2001,0,1
"84","CHN",2001,0,1
"85","CMR",2001,0,1
"86","GRC",2001,1,0
"87","IDN",2001,1,0
"88","IDN",2001,1,0
"89","IRN",2001,1,0
"90","JPN",2001,1,0
"91","KHM",2001,0,1
"92","KOR",2001,0,1
"93","LKA",2001,0,1
"94","MOZ",2001,0,1
"95","MOZ",2001,0,1
"96","IDN",2002,1,0
"97","LSO",2002,0,1
"98","GEO",2002,1,0
"99","ITA",2002,1,0
"100","IND",2002,1,0
"101","CPV",2002,0,1
"102","GMB",2002,0,1
"103","MDG",2002,0,1
"104","CHN",2002,1,0
"105","CHN",2002,1,0
"106","CHN",2002,0,1
"107","CHN",2002,0,1
"108","CHN",2002,0,1
"109","EGY",2002,1,0
"110","GNB",2002,0,1
"111","GRC",2002,1,0
"112","HND",2002,0,1
"113","IDN",2002,1,0
"114","IDN",2002,1,0
"115","IDN",2002,1,0
"116","IND",2002,0,1
"117","IRN",2002,1,0
"118","IRN",2002,1,0
"119","IRN",2002,1,0
"120","IRN",2002,1,0
"121","IRN",2002,1,0
"122","ITA",2002,1,0
"123","ITA",2002,1,0
"124","ITA",2002,0,1
"125","KHM",2002,0,1
"126","MEX",2002,0,1
"127","MEX",2003,1,0
"128","CHN",2003,1,0
"129","IDN",2003,1,0
"130","IRN",2003,1,0
"131","PNG",2001,1,0
"132","PER",2001,1,0
"133","NIC",2001,0,1
"134","TCD",2001,0,1
"135","NER",2001,0,1
"136","NAM",2001,0,1
"137","PER",2001,1,0
"138","PER",2001,1,0
"139","SLV",2001,0,1
"140","SWZ",2001,0,1
"141","TUR",2001,1,0
"142","TUR",2001,1,0
"143","ZWE",2001,0,1
"144","TWN",2002,1,0
"145","PAK",2002,1,0
"146","PAK",2002,1,0
"147","VUT",2002,1,0
"148","VUT",2002,1,0
"149","PHL",2002,1,0
"150","PNG",2002,1,0
"151","UGA",2002,0,1
"152","MWI",2002,0,1
"153","NAM",2002,0,1
"154","PAK",2002,1,0
"155","PER",2002,0,1
"156","PHL",2002,0,1
"157","PNG",2002,1,0
"158","RWA",2002,1,0
"159","SEN",2002,0,1
"160","SCG",2002,1,0
"161","THA",2002,0,1
"162","TJK",2002,1,0
"163","TJK",2002,1,0
"164","TUR",2002,1,0
"165","TZA",2002,1,0
"166","USA",2002,0,1
"167","VNM",2002,0,1
"168","AFG",2003,1,0
"169","BGD",2003,1,0
"170","TUR",2003,1,0
"171","ARG",2003,0,1
"172","BDI",2003,0,1
"173","AGO",2004,0,1
"174","AFG",2004,1,0
"175","BDI",2004,1,0
"176","BGD",2004,1,0
"177","JPN",2003,1,0
"178","JPN",2003,1,0
"179","CHN",2003,0,1
"180","CHN",2003,1,0
"181","DOM",2003,1,0
"182","GRC",2003,1,0
"183","ITA",2003,1,0
"184","JPN",2003,1,0
"185","DZA",2003,1,0
"186","HRV",2003,0,1
"187","HTI",2003,0,1
"188","BIH",2003,0,1
"189","CHN",2003,1,0
"190","CHN",2003,1,0
"191","CHN",2003,1,0
"192","CHN",2003,1,0
"193","CHN",2003,1,0
"194","CHN",2003,1,0
"195","CHN",2003,1,0
"196","CHN",2003,1,0
"197","CHN",2003,1,0
"198","CHN",2003,0,1
"199","CRI",2003,1,0
"200","DZA",2003,1,0
"201","ETH",2003,0,1
"202","HUN",2003,0,1
"203","IDN",2003,1,0
"204","IDN",2003,1,0
"205","IDN",2003,0,1
